{Machetes_nebrius, Motacilla_caucasicus} {Aix_gigas, Budytes_karelini}
{Machetes_nebrius, Motacilla_caucasicus} {Aix_gigas, Calidris_arseniavi}
{Machetes_nebrius, Motacilla_caucasicus} {Aix_gigas, Paraphysa_constrictor}
{Machetes_nebrius, Motacilla_caucasicus} {Aix_gigas, Tadorna_alpinus}
{Machetes_nebrius, Motacilla_caucasicus} {Budytes_karelini, Calidris_arseniavi}
{Machetes_nebrius, Motacilla_caucasicus} {Budytes_karelini, Paraphysa_constrictor}
{Machetes_nebrius, Motacilla_caucasicus} {Budytes_karelini, Tadorna_alpinus}
{Machetes_nebrius, Motacilla_caucasicus} {Calidris_arseniavi, Paraphysa_constrictor}
{Machetes_nebrius, Motacilla_caucasicus} {Calidris_arseniavi, Tadorna_alpinus}
{Machetes_nebrius, Motacilla_caucasicus} {Paraphysa_constrictor, Tadorna_alpinus}
{Allactaga_subrubrum, Mochlus_oenanthe} {Acipenser_castaneus, Budytes_karelini}
{Allactaga_subrubrum, Mochlus_oenanthe} {Acipenser_castaneus, Hottentotta_melleri}
{Allactaga_subrubrum, Mochlus_oenanthe} {Acipenser_castaneus, Machetes_nebrius}
{Allactaga_subrubrum, Mochlus_oenanthe} {Acipenser_castaneus, Porphyrio_maihensis}
{Allactaga_subrubrum, Mochlus_oenanthe} {Budytes_karelini, Hottentotta_melleri}
{Allactaga_subrubrum, Mochlus_oenanthe} {Budytes_karelini, Machetes_nebrius}
{Allactaga_subrubrum, Mochlus_oenanthe} {Budytes_karelini, Porphyrio_maihensis}
{Allactaga_subrubrum, Mochlus_oenanthe} {Hottentotta_melleri, Machetes_nebrius}
{Allactaga_subrubrum, Mochlus_oenanthe} {Hottentotta_melleri, Porphyrio_maihensis}
{Allactaga_subrubrum, Mochlus_oenanthe} {Machetes_nebrius, Porphyrio_maihensis}
{Allactaga_subrubrum, Paraphysa_constrictor} {Acipenser_castaneus, Budytes_karelini}
{Allactaga_subrubrum, Paraphysa_constrictor} {Acipenser_castaneus, Hottentotta_melleri}
{Allactaga_subrubrum, Paraphysa_constrictor} {Acipenser_castaneus, Machetes_nebrius}
{Allactaga_subrubrum, Paraphysa_constrictor} {Acipenser_castaneus, Porphyrio_maihensis}
{Allactaga_subrubrum, Paraphysa_constrictor} {Budytes_karelini, Hottentotta_melleri}
{Allactaga_subrubrum, Paraphysa_constrictor} {Budytes_karelini, Machetes_nebrius}
{Allactaga_subrubrum, Paraphysa_constrictor} {Budytes_karelini, Porphyrio_maihensis}
