{Machetes_nebrius, Motacilla_caucasicus} {Aix_gigas, Budytes_karelini}
{Machetes_nebrius, Motacilla_caucasicus} {Calidris_arseniavi, Aix_gigas}
{Machetes_nebrius, Motacilla_caucasicus} {Paraphysa_constrictor, Aix_gigas}
{Machetes_nebrius, Motacilla_caucasicus} {Tadorna_alpinus, Aix_gigas}
{Machetes_nebrius, Motacilla_caucasicus} {Calidris_arseniavi, Budytes_karelini}
{Machetes_nebrius, Motacilla_caucasicus} {Paraphysa_constrictor, Budytes_karelini}
{Machetes_nebrius, Motacilla_caucasicus} {Tadorna_alpinus, Budytes_karelini}
{Machetes_nebrius, Motacilla_caucasicus} {Calidris_arseniavi, Paraphysa_constrictor}
{Machetes_nebrius, Motacilla_caucasicus} {Calidris_arseniavi, Tadorna_alpinus}
{Machetes_nebrius, Motacilla_caucasicus} {Tadorna_alpinus, Paraphysa_constrictor}
{Mochlus_oenanthe, Allactaga_subrubrum} {Acipenser_castaneus, Budytes_karelini}
{Mochlus_oenanthe, Allactaga_subrubrum} {Acipenser_castaneus, Hottentotta_melleri}
{Mochlus_oenanthe, Allactaga_subrubrum} {Acipenser_castaneus, Machetes_nebrius}
{Mochlus_oenanthe, Allactaga_subrubrum} {Acipenser_castaneus, Porphyrio_maihensis}
{Mochlus_oenanthe, Allactaga_subrubrum} {Hottentotta_melleri, Budytes_karelini}
{Mochlus_oenanthe, Allactaga_subrubrum} {Machetes_nebrius, Budytes_karelini}
{Mochlus_oenanthe, Allactaga_subrubrum} {Porphyrio_maihensis, Budytes_karelini}
{Mochlus_oenanthe, Allactaga_subrubrum} {Machetes_nebrius, Hottentotta_melleri}
{Mochlus_oenanthe, Allactaga_subrubrum} {Porphyrio_maihensis, Hottentotta_melleri}
{Mochlus_oenanthe, Allactaga_subrubrum} {Machetes_nebrius, Porphyrio_maihensis}
{Allactaga_subrubrum, Paraphysa_constrictor} {Acipenser_castaneus, Budytes_karelini}
{Allactaga_subrubrum, Paraphysa_constrictor} {Acipenser_castaneus, Hottentotta_melleri}
{Allactaga_subrubrum, Paraphysa_constrictor} {Acipenser_castaneus, Machetes_nebrius}
{Allactaga_subrubrum, Paraphysa_constrictor} {Acipenser_castaneus, Porphyrio_maihensis}
{Allactaga_subrubrum, Paraphysa_constrictor} {Hottentotta_melleri, Budytes_karelini}
{Allactaga_subrubrum, Paraphysa_constrictor} {Machetes_nebrius, Budytes_karelini}
{Allactaga_subrubrum, Paraphysa_constrictor} {Porphyrio_maihensis, Budytes_karelini}
{Allactaga_subrubrum, Paraphysa_constrictor} {Machetes_nebrius, Hottentotta_melleri}
{Allactaga_subrubrum, Paraphysa_constrictor} {Porphyrio_maihensis, Hottentotta_melleri}
{Allactaga_subrubrum, Paraphysa_constrictor} {Machetes_nebrius, Porphyrio_maihensis}
{Allactaga_subrubrum, Tadorna_alpinus} {Acipenser_castaneus, Budytes_karelini}
{Allactaga_subrubrum, Tadorna_alpinus} {Acipenser_castaneus, Hottentotta_melleri}
{Allactaga_subrubrum, Tadorna_alpinus} {Acipenser_castaneus, Machetes_nebrius}
{Allactaga_subrubrum, Tadorna_alpinus} {Acipenser_castaneus, Porphyrio_maihensis}
{Allactaga_subrubrum, Tadorna_alpinus} {Hottentotta_melleri, Budytes_karelini}
{Allactaga_subrubrum, Tadorna_alpinus} {Machetes_nebrius, Budytes_karelini}
{Allactaga_subrubrum, Tadorna_alpinus} {Porphyrio_maihensis, Budytes_karelini}
{Allactaga_subrubrum, Tadorna_alpinus} {Machetes_nebrius, Hottentotta_melleri}
{Allactaga_subrubrum, Tadorna_alpinus} {Porphyrio_maihensis, Hottentotta_melleri}
{Allactaga_subrubrum, Tadorna_alpinus} {Machetes_nebrius, Porphyrio_maihensis}
{Mochlus_oenanthe, Paraphysa_constrictor} {Acipenser_castaneus, Budytes_karelini}
