827 856
824 434 931
332 230 821
393 357 692
287 689 -852
451 440 -626
706 649 -997
569 726 -406
274 734 -566
591 343 671
786 232 -67
749 74 -949
26 65 784
758 689 190
515 279 -546
768 512 21
658 179 -222
235 115 -820
20 245 617
122 249 -259
359 242 -145
720 390 -212
163 713 -324
121 384 256
686 592 -888
215 428 -697
743 105 -762
435 119 -597
530 490 680
185 530 517
56 321 -846
6 429 -895
166 272 812
168 99 865
511 676 -367
415 476 112
325 278 -602
527 228 701
747 384 901
399 795 900
376 664 -320
335 156 710
481 22 -14
331 735 -166
344 260 -274
266 616 -817
24 10 585
242 389 493
98 580 -953
757 806 92
181 565 610
655 739 501
34 821 -274
726 130 -135
179 810 -225
238 99 291
238 744 -205
824 160 385
796 518 150
146 640 -822
193 59 161
451 544 -875
277 364 86
228 492 292
111 215 855
226 720 -397
788 168 -352
437 210 -810
47 257 -796
384 525 71
570 461 -880
656 277 -800
568 282 -684
527 304 -817
589 24 -620
231 272 -59
342 180 -355
572 235 -203
548 568 -845
190 736 802
510 559 33
130 588 -211
341 626 -883
687 282 523
320 377 225
241 653 426
156 406 204
689 100 -208
592 175 -102
80 510 591
711 314 -512
373 714 291
2 747 48
227 477 891
712 113 -801
544 206 -2
395 222 -408
344 257 -123
511 791 -405
278 395 129
253 397 -370
394 128 -8
760 166 444
279 805 42
737 683 444
381 202 -834
669 307 19
680 213 -901
179 312 -747
715 291 -99
730 87 -894
532 130 875
671 134 174
72 310 138
771 28 -559
485 690 528
679 356 -45
575 18 235
347 161 -9
164 515 -280
295 688 512
680 339 51
565 681 630
404 133 -448
79 565 -12
361 667 479
138 214 38
193 804 452
595 52 765
823 208 273
421 286 364
44 618 -519
201 680 896
398 805 -995
370 722 -67
19 196 319
591 130 983
647 182 463
270 328 501
351 337 204
700 215 494
464 661 583
539 600 -407
72 220 251
731 83 429
78 93 18
639 86 -314
248 731 -524
690 685 378
694 121 -65
518 715 -94
70 213 -978
615 815 846
335 115 91
143 351 636
475 302 894
255 741 873
538 650 -609
40 713 -198
354 164 -626
822 407 -23
25 148 122
617 534 853
293 66 -196
527 697 -467
