17
858 1996
391 396 217
69 482 546
765 854 948
828 300 101
359 524 431
529 486 270
391 3 654
605 720 134
835 104 197
218 247 78
144 408 51
811 735 923
183 695 593
107 383 289
520 429 839
159 590 618
479 16 99
733 586 117
78 785 95
133 234 398
624 856 724
337 610 767
392 288 590
197 857 383
419 564 708
342 398 282
262 489 732
692 812 253
781 108 145
43 454 950
335 731 930
693 429 937
567 16 537
710 552 877
263 494 344
196 435 839
573 613 221
121 401 243
149 543 159
393 114 757
441 155 507
829 736 344
182 81 414
98 749 240
485 336 399
501 249 161
525 748 541
805 83 55
353 548 9
589 155 573
27 395 222
478 544 935
366 805 930
23 17 978
82 424 840
842 245 662
555 427 360
459 742 331
404 243 154
463 397 612
532 466 202
245 323 80
541 80 776
637 46 381
480 472 548
270 634 994
341 755 336
213 638 550
170 638 959
55 83 678
159 732 90
396 455 648
147 241 24
575 462 854
838 132 353
683 44 731
303 600 486
649 436 942
344 592 596
101 431 990
35 554 578
847 173 753
557 836 830
227 565 817
66 250 666
402 593 793
396 261 215
186 638 17
147 157 655
399 508 883
592 363 11
35 765 603
715 643 12
724 373 796
781 296 981
408 193 580
215 320 343
373 73 525
777 389 154
444 387 922
140 464 489
127 432 707
326 654 336
606 541 518
603 308 374
777 226 10
446 776 510
850 118 452
532 185 707
518 240 909
343 300 827
47 439 88
646 64 517
625 816 572
187 836 665
524 256 695
584 492 618
675 763 223
607 256 304
303 621 130
850 146 632
504 753 854
784 567 392
62 42 885
791 486 634
561 541 621
651 523 291
447 314 428
769 124 481
350 809 976
154 711 984
69 559 419
144 30 774
548 822 891
12 216 885
451 207 665
590 586 897
265 256 697
748 178 55
731 822 726
4 318 205
416 427 647
215 210 233
805 418 474
586 94 840
297 435 258
621 703 139
358 525 177
119 92 805
416 655 217
356 664 166
531 124 988
533 261 687
501 781 442
410 320 366
612 386 690
330 181 413
682 199 20
450 636 312
33 187 243
52 466 698
755 402 661
656 112 676
339 367 188
198 583 853
495 241 4
314 187 953
774 397 197
469 427 731
719 565 579
588 544 83
582 508 583
478 722 584
199 611 261
363 487 27
117 438 721
622 794 671
463 67 887
400 68 52
584 295 627
267 638 775
364 60 176
834 420 476
399 741 115
286 520 890
67 756 310
650 803 637
240 381 194
14 189 430
611 534 210
410 608 359
381 514 892
781 625 600
35 330 406
136 838 900
567 56 780
170 1 971
353 262 502
336 718 416
640 56 807
397 779 268
490 398 697
771 813 237
449 759 323
496 69 179
707 71 997
629 142 54
255 225 400
143 214 192
736 192 489
130 664 948
475 448 752
201 704 48
382 486 429
797 547 478
443 345 885
561 806 664
171 92 895
621 66 750
297 324 73
498 194 916
753 717 467
844 316 162
519 566 563
458 442 635
546 795 767
839 90 575
819 307 566
825 623 736
295 534 60
416 725 911
317 22 345
713 476 616
1 409 666
167 407 291
317 670 69
588 586 388
715 137 519
849 799 732
173 268 868
4 316 95
609 738 237
159 406 222
21 24 173
799 312 684
638 76 799
514 289 479
532 63 813
510 305 950
447 33 364
371 390 331
543 423 429
717 504 53
381 778 270
674 558 140
654 596 257
169 187 812
743 178 966
283 845 597
160 718 727
176 662 262
594 420 41
222 581 817
365 567 785
844 822 172
743 261 638
465 690 73
332 113 963
231 272 856
423 311 57
737 509 729
535 516 715
348 671 515
506 73 110
219 463 623
676 378 789
532 629 822
21 177 503
271 26 889
598 830 422
313 758 892
422 128 6
119 184 803
308 90 888
549 408 708
310 519 387
330 153 680
758 513 851
55 665 628
276 113 412
576 439 385
755 582 474
555 286 702
828 385 131
812 652 521
527 109 858
543 216 700
26 792 958
699 208 181
800 854 358
728 49 601
140 411 396
86 316 51
500 117 388
285 769 61
334 621 383
805 123 911
488 212 739
594 128 754
381 116 726
419 720 931
209 109 769
269 814 937
411 669 375
88 180 708
698 501 33
441 519 595
768 28 617
343 227 155
483 463 176
301 844 374
45 556 837
382 422 441
72 660 798
526 534 807
182 48 972
323 316 544
516 759 910
846 357 157
76 606 179
576 844 906
319 122 445
622 635 488
672 795 16
544 220 411
374 515 318
487 834 876
850 789 687
498 841 939
806 668 710
846 162 800
712 660 170
772 391 773
496 258 65
838 371 558
562 851 636
221 640 300
224 124 692
400 335 104
489 283 111
361 487 922
564 752 829
283 834 175
743 634 154
561 451 771
91 23 26
38 208 133
100 483 741
583 161 239
418 512 117
189 317 736
216 338 199
707 151 445
568 230 321
534 469 812
657 828 358
63 257 932
566 570 873
51 320 304
549 85 31
7 283 43
557 286 865
325 726 719
702 427 570
282 746 190
768 293 456
694 321 408
338 564 387
261 280 794
540 129 334
421 607 510
87 386 752
415 393 440
377 244 1
636 684 346
735 425 290
465 69 946
759 735 694
602 816 32
481 457 475
43 44 623
440 466 188
547 129 474
483 240 210
274 707 178
848 120 346
515 473 500
542 535 590
632 391 423
211 7 61
119 144 351
624 363 308
583 588 388
350 614 401
576 577 790
421 37 980
137 799 402
322 638 954
733 44 910
697 817 135
435 14 583
292 834 243
775 435 976
436 166 412
443 559 890
654 185 44
370 13 914
275 845 28
200 190 857
187 381 436
440 357 689
337 150 559
476 517 256
132 365 732
496 706 706
780 409 129
23 689 999
473 519 27
760 405 41
244 351 167
445 291 552
519 688 982
645 59 416
221 719 731
15 260 498
55 300 631
41 769 589
134 409 77
789 240 528
769 280 934
546 377 552
414 692 806
468 260 174
154 290 651
652 99 358
109 636 953
91 504 354
581 184 814
563 521 137
643 523 922
540 327 641
818 472 188
303 495 270
21 617 120
777 136 11
312 817 299
213 415 740
814 382 547
561 173 506
15 771 792
516 30 965
332 57 844
83 639 770
821 798 431
371 167 918
208 189 238
746 744 412
786 619 530
624 487 707
817 854 992
506 472 551
202 208 813
325 446 959
113 146 130
637 7 38
60 457 299
179 203 605
13 382 397
764 302 259
368 129 269
797 215 833
421 254 850
720 287 271
563 103 581
91 484 713
93 493 29
424 187 427
349 350 54
89 770 797
167 503 445
395 549 860
817 351 21
571 469 780
656 599 114
274 705 831
831 774 756
10 25 517
654 613 132
716 434 52
294 469 205
295 329 201
246 536 441
509 654 462
645 480 741
379 713 144
711 380 884
421 747 2
681 230 580
265 729 727
671 556 713
508 805 581
147 778 640
503 772 960
603 648 850
23 468 64
852 572 117
121 498 361
450 164 302
719 84 581
32 238 871
602 728 112
159 269 215
9 230 771
773 401 342
582 374 913
754 476 72
90 760 947
646 123 170
435 700 691
730 784 837
417 500 889
493 836 460
501 423 754
74 573 483
289 379 335
592 771 543
478 819 961
110 268 446
671 230 611
174 573 599
614 764 649
670 300 65
615 531 414
323 256 858
633 480 314
536 813 753
764 22 397
378 849 308
415 65 940
384 427 596
592 342 437
494 331 303
719 248 2
193 705 361
445 214 670
629 390 414
250 576 61
383 316 776
630 621 472
52 37 990
703 525 755
260 640 1000
362 656 364
195 246 209
707 641 60
126 806 284
735 657 131
130 242 729
145 824 978
405 621 114
121 172 956
401 424 833
176 751 956
256 650 504
298 373 535
511 838 401
583 326 695
653 740 446
155 819 837
441 567 195
15 411 906
70 256 849
455 490 416
502 262 656
209 4 557
428 309 615
774 635 745
50 567 355
625 533 239
643 694 630
197 152 176
142 267 939
621 7 332
214 187 962
335 319 566
82 91 554
413 174 972
471 842 222
116 253 283
857 822 767
135 53 992
238 818 881
198 731 936
87 311 495
331 596 97
26 687 514
730 591 629
659 148 833
322 694 360
322 825 483
345 266 922
682 209 597
453 69 562
423 576 986
820 673 111
856 241 700
422 613 285
813 597 147
333 239 775
419 119 755
512 197 193
552 601 671
499 658 974
210 314 91
268 212 58
594 23 171
446 434 965
233 26 64
91 812 603
205 223 228
856 399 135
320 720 125
604 848 634
555 53 862
221 634 939
176 692 784
625 176 682
93 115 670
238 182 409
834 695 232
173 18 843
604 766 701
96 805 644
680 765 531
113 501 515
599 238 359
648 585 863
696 297 843
207 221 360
6 390 748
702 178 62
246 798 565
82 265 582
699 299 276
606 432 941
759 188 454
818 407 307
68 173 266
88 465 1000
258 591 139
479 353 38
51 720 554
159 237 577
543 746 563
21 117 245
714 390 614
820 380 693
673 735 550
601 539 621
273 156 48
427 356 487
62 449 32
214 841 482
117 152 809
3 145 833
545 224 630
694 400 728
679 490 793
300 426 702
84 183 688
513 445 692
547 474 348
673 50 10
49 770 184
192 373 75
209 366 538
617 644 709
685 199 950
713 574 52
676 847 725
754 361 285
171 391 489
432 568 83
541 236 105
87 143 215
606 486 669
259 834 33
768 611 599
177 809 96
61 219 503
189 669 643
370 597 591
461 44 637
844 40 807
515 325 312
184 168 869
23 255 637
660 704 370
549 677 537
761 17 497
212 325 951
427 286 565
565 238 790
42 559 162
3 394 446
792 634 124
703 430 454
392 4 273
612 597 976
17 506 337
472 840 625
274 518 151
84 632 200
140 343 395
63 732 56
532 199 485
572 141 634
429 13 224
670 635 224
636 564 787
318 322 527
428 120 16
812 116 1000
43 173 810
761 526 907
299 387 111
715 712 459
727 554 968
840 154 972
688 214 743
652 552 572
641 311 688
664 98 536
664 278 729
150 13 415
181 706 588
655 102 605
170 577 612
100 697 336
585 661 143
581 521 786
129 454 693
511 114 147
213 788 177
459 830 508
772 217 957
351 579 532
215 505 88
225 233 760
326 357 713
554 67 945
831 360 463
373 278 1000
417 718 188
562 583 876
347 852 734
69 525 30
706 656 652
163 800 376
826 110 675
456 125 457
477 516 850
694 54 390
755 822 715
103 195 745
775 839 766
592 75 254
587 155 570
5 448 525
110 32 40
124 273 188
756 342 98
796 242 151
791 303 308
108 487 986
845 142 104
772 315 424
513 509 37
592 28 627
474 263 629
407 277 77
104 577 189
405 48 499
621 148 582
70 535 381
796 304 233
299 120 960
145 92 209
574 327 840
191 140 952
707 575 236
443 842 585
542 359 854
425 550 237
749 237 214
355 729 690
457 278 373
178 800 934
764 786 755
681 651 657
503 808 455
200 543 328
686 220 534
764 256 201
411 752 610
442 594 283
129 112 147
20 378 554
318 278 693
382 86 318
467 130 905
15 10 620
644 216 981
609 394 908
69 598 785
212 369 555
739 470 720
255 705 730
830 464 909
141 311 383
644 86 426
64 110 903
734 471 116
412 565 237
436 499 536
108 73 720
628 151 544
328 40 30
502 37 974
385 481 271
393 29 221
43 403 541
82 144 774
704 546 281
527 64 192
343 596 71
67 484 253
12 342 137
697 167 454
359 450 676
300 288 60
107 65 315
358 520 469
671 599 339
695 342 532
546 492 466
790 798 21
826 46 69
685 770 837
28 691 704
279 348 5
702 181 404
83 812 333
758 694 931
324 57 248
374 25 720
653 767 248
723 686 550
707 249 216
597 357 393
440 203 472
755 569 951
438 339 911
735 520 153
515 125 118
472 378 669
690 351 232
709 165 700
430 79 695
445 454 161
125 211 821
94 35 826
428 810 749
39 29 399
835 24 131
749 472 590
666 503 831
715 341 992
76 582 940
190 721 121
207 664 334
571 302 680
75 822 850
272 817 80
559 327 632
432 570 162
46 191 294
770 599 71
133 613 988
517 541 929
664 109 737
30 14 546
167 381 719
73 730 751
358 855 527
487 147 197
370 214 53
551 105 883
826 123 178
293 199 746
840 734 235
448 340 998
521 494 166
287 328 244
165 40 98
40 633 687
263 744 272
457 407 352
178 24 916
519 774 55
167 209 976
324 730 627
31 681 919
734 406 188
429 612 904
555 430 596
60 691 456
466 120 915
8 763 205
778 739 609
236 322 990
665 648 53
598 737 3
643 172 60
751 170 225
777 402 390
147 663 556
459 697 952
690 260 483
2 722 804
526 673 623
96 407 698
644 440 695
403 375 365
228 828 800
380 56 134
301 811 434
800 257 862
403 15 105
731 364 403
468 198 292
699 484 400
202 15 747
578 451 6
190 530 537
773 496 443
679 659 655
456 527 135
159 33 547
619 205 422
776 779 694
773 771 718
585 643 857
525 743 698
72 560 445
326 285 264
675 749 262
184 782 38
273 298 96
189 352 546
30 270 772
802 133 590
140 512 750
114 548 171
341 155 850
500 724 280
477 231 532
470 398 420
542 63 266
127 552 264
461 410 788
82 210 26
761 363 290
396 320 827
256 579 527
14 437 412
624 244 740
271 153 893
794 767 922
16 824 696
268 54 525
438 670 324
831 772 670
76 271 801
680 185 866
214 205 918
817 345 77
192 148 129
624 646 331
545 127 510
434 215 26
778 849 689
299 132 623
655 523 595
807 733 613
345 823 684
72 63 568
592 641 195
45 349 296
618 426 91
192 223 440
568 745 365
782 418 214
452 392 708
670 114 617
244 388 986
637 779 5
536 147 162
152 680 491
593 188 656
856 191 805
799 583 696
755 291 605
510 339 435
374 19 210
648 32 434
82 313 882
3 517 206
93 513 367
127 431 201
72 186 814
224 532 498
748 458 469
41 802 998
576 93 972
313 526 465
192 30 535
52 131 726
673 466 866
84 294 944
448 366 882
206 118 252
842 545 203
284 548 325
97 741 888
372 175 38
122 210 912
727 305 940
157 807 898
412 330 682
52 66 849
145 11 717
853 385 21
696 290 901
603 791 642
787 666 371
16 663 986
743 484 353
595 217 944
340 235 152
714 501 355
385 648 346
264 406 771
619 243 116
741 193 830
142 515 345
719 339 421
109 316 989
65 334 97
261 245 156
757 184 903
63 541 352
843 18 831
106 471 754
440 482 82
198 522 928
129 256 929
795 736 458
511 567 205
593 14 889
168 852 263
704 856 820
829 75 657
764 169 88
459 39 814
590 856 639
9 189 740
743 556 41
