854 2829
379 580 510
401 486 331
759 674 548
483 758 519
682 842 84
368 223 488
444 370 310
158 46 16
468 656 902
792 706 493
83 479 656
220 295 238
198 680 504
258 169 364
497 799 255
543 9 776
729 429 487
498 317 914
490 507 384
194 160 588
631 568 558
694 417 981
351 131 53
586 248 200
32 386 282
387 4 853
392 488 280
761 350 570
109 322 990
558 113 363
346 614 152
263 817 734
177 823 551
536 564 66
838 758 305
218 470 228
124 600 314
248 790 117
431 717 137
305 398 689
291 600 481
386 344 838
647 77 5
467 509 227
679 180 309
739 460 414
399 289 346
333 75 585
528 277 285
286 767 26
796 2 701
702 105 712
515 697 660
547 597 748
209 389 603
700 490 952
325 178 980
809 433 397
224 443 954
497 59 45
312 251 735
810 23 921
283 483 611
75 267 112
547 387 300
843 292 424
623 294 636
490 330 270
686 221 541
38 123 914
41 253 665
713 763 884
333 437 872
306 568 605
85 177 609
594 474 346
658 119 280
429 184 440
342 616 756
645 54 291
687 607 38
464 654 221
303 389 692
557 144 10
173 242 926
494 66 189
94 122 237
804 256 284
651 380 880
474 683 321
365 450 958
656 426 918
619 181 679
551 675 158
814 502 670
54 300 350
839 250 38
192 209 751
342 269 131
13 409 153
98 820 755
79 184 516
600 136 826
125 641 665
196 131 596
130 812 184
422 490 85
286 276 916
503 408 153
577 635 308
193 453 744
361 174 618
548 225 411
265 116 214
489 471 558
721 229 644
609 200 306
812 38 492
844 694 453
660 814 819
510 421 606
471 175 670
7 47 935
164 737 944
148 371 662
540 754 760
286 717 898
533 792 582
761 256 191
54 655 262
164 528 535
253 164 670
100 718 177
637 570 601
467 527 969
432 849 456
182 262 174
111 276 841
392 771 52
736 510 832
247 178 584
373 568 677
523 512 362
224 848 791
46 82 801
187 659 917
597 837 519
90 704 605
261 158 871
669 615 730
213 614 916
169 413 668
219 368 400
413 341 294
125 95 746
788 241 500
169 594 181
604 448 840
219 585 480
670 550 101
136 45 113
376 812 688
667 1 181
784 809 28
292 167 206
618 251 678
548 172 938
57 506 709
363 544 848
586 166 122
745 818 172
182 747 410
692 442 991
533 215 408
613 400 716
699 806 751
772 749 261
779 592 751
231 395 630
547 256 788
829 69 210
281 51 262
827 266 277
383 194 549
413 362 679
167 476 317
178 790 83
635 353 30
240 331 837
209 532 16
765 521 6
390 747 981
684 36 395
818 611 143
165 246 573
57 54 793
41 650 207
729 128 146
780 203 538
21 247 245
291 286 319
206 830 352
71 360 272
384 163 568
591 578 945
185 798 374
419 51 782
423 830 287
167 134 807
214 142 982
827 165 977
169 411 810
221 425 512
545 229 739
653 636 803
481 829 378
46 716 724
488 41 744
641 207 854
78 421 857
338 334 834
421 237 304
701 58 685
22 470 875
148 731 841
619 208 413
820 408 55
830 373 422
603 532 772
747 741 806
605 139 193
674 51 517
313 713 909
280 134 730
95 657 725
188 676 508
637 664 772
197 313 634
443 462 456
191 674 476
191 723 611
213 30 478
753 809 684
746 92 875
69 569 787
807 598 639
707 243 845
250 448 467
182 844 143
574 535 252
689 94 719
631 504 45
67 829 140
116 468 935
381 342 419
174 325 826
797 194 287
533 608 972
193 649 281
838 64 598
194 184 961
332 421 545
789 503 108
304 390 295
313 365 133
183 818 40
685 370 737
357 302 931
671 580 112
295 712 585
698 282 47
55 79 138
475 187 563
715 26 635
252 66 691
140 111 899
612 262 871
841 13 390
693 686 543
520 375 488
445 248 622
122 758 278
26 88 474
801 116 495
