16
880 858
23 180 -175
538 586 -73
529 490 -354
197 766 -285
846 585 -206
177 113 169
205 407 851
192 351 929
577 227 146
666 74 133
836 214 -503
168 47 -190
558 43 34
695 307 603
307 72 501
123 518 -839
855 825 419
435 838 -328
821 556 176
711 150 167
128 366 48
411 482 -264
401 342 332
696 432 10
391 601 69
672 267 -319
550 319 -926
175 729 -378
636 267 685
265 434 322
632 256 -445
849 460 -15
365 745 75
84 365 541
108 115 -762
67 770 269
736 369 -690
323 648 597
245 850 1000
552 233 -437
557 265 -609
754 278 95
474 442 -940
663 725 657
588 611 -285
151 217 -339
84 215 -610
623 77 285
787 488 -935
312 853 66
615 63 -756
252 222 -471
797 328 -672
20 787 226
301 153 814
341 609 220
282 547 195
439 424 -198
94 255 505
676 662 944
123 747 -439
739 261 177
865 152 549
213 119 19
663 837 72
578 535 306
569 580 -633
720 868 -765
553 190 -605
805 797 -771
859 83 -110
792 507 -899
679 870 868
395 717 402
234 775 65
319 22 -470
860 856 -884
187 84 -54
265 109 -218
2 226 251
277 392 -334
149 536 -403
617 772 948
165 17 -925
334 663 905
64 858 869
297 190 -793
218 290 -238
855 585 -28
109 222 835
343 145 214
294 729 -474
341 274 -689
113 78 -611
259 178 -139
475 611 -505
607 68 -619
712 654 -735
493 410 814
474 470 -137
60 751 502
459 107 -356
844 463 -936
39 119 517
591 747 44
283 242 114
234 251 851
449 741 416
805 249 566
360 10 -149
849 390 782
797 438 847
52 756 723
710 640 248
683 393 -576
343 379 245
469 211 -633
657 608 775
171 873 -691
810 78 -370
162 846 -945
136 605 249
450 252 -675
544 871 -243
353 664 57
397 646 252
307 392 -973
474 569 908
239 403 949
268 864 420
70 861 771
851 263 825
832 843 -728
85 476 -139
199 858 507
806 648 -774
347 694 732
252 763 655
411 796 -941
643 830 -421
507 603 -877
579 825 -406
457 674 459
538 225 436
539 176 -648
847 464 442
797 794 -312
35 586 891
365 103 -268
769 454 536
203 444 -945
653 326 -134
770 132 179
484 465 890
861 421 -571
836 156 -305
635 179 -975
433 98 -893
405 126 305
611 688 672
540 277 -874
542 410 -421
196 791 -143
124 242 -100
844 553 -194
95 189 -475
411 512 -367
397 18 811
233 490 568
788 568 -168
523 18 -912
804 127 468
584 711 -706
549 131 220
239 382 -698
644 520 -80
487 516 -575
606 759 835
512 742 -511
418 879 835
552 587 114
309 521 562
122 749 583
233 103 407
465 255 120
463 45 53
459 122 771
874 850 144
751 16 795
492 791 -180
540 317 -805
199 765 156
59 868 -554
512 488 942
841 613 202
821 75 -930
583 460 -176
141 291 -692
383 497 207
90 10 -982
416 66 -911
624 49 771
661 714 750
61 289 -584
534 207 104
603 697 629
743 280 469
843 412 972
645 658 923
647 835 491
76 291 534
83 871 -304
799 359 227
699 397 -221
70 272 -706
11 595 -157
576 340 975
414 353 848
776 50 -79
22 115 828
625 467 -21
38 678 163
554 228 -305
73 605 -123
411 756 -345
298 54 594
116 98 161
277 232 697
541 689 107
291 3 -37
831 813 -207
81 592 101
522 192 -904
233 618 37
470 149 554
288 172 -259
656 321 -51
848 404 616
727 432 855
166 648 448
500 590 -193
835 455 -926
261 509 -953
369 176 -992
705 44 260
670 384 -24
64 662 122
700 400 741
846 837 -868
115 419 -688
632 22 -278
159 27 -640
299 57 41
347 101 -27
813 385 24
106 34 -192
795 340 -380
757 403 -146
683 738 497
73 461 -609
700 543 -757
574 438 -892
67 121 56
369 619 -733
828 288 -893
351 757 635
379 110 -707
499 416 457
499 635 -903
153 484 -363
187 354 133
116 475 697
414 798 -43
120 778 769
852 721 -401
77 543 -595
335 612 965
330 443 159
618 25 975
131 364 -998
494 292 -27
833 763 538
103 537 -768
327 737 -223
321 802 997
772 132 619
235 58 89
337 556 159
296 446 493
563 279 -709
843 458 -201
269 703 521
85 490 -858
726 635 328
789 683 -177
674 614 42
676 547 -349
784 201 307
198 823 -41
812 331 -850
3 315 283
369 836 -1
198 705 -890
654 712 320
635 720 -526
556 290 92
494 759 571
783 758 660
23 313 312
660 382 827
212 698 -435
304 1 351
251 820 -632
862 792 339
808 157 765
37 831 15
318 478 -896
736 377 -533
856 783 -143
442 202 56
728 501 -43
500 300 -760
332 344 517
266 536 185
238 294 -888
710 301 -785
309 420 279
85 32 490
802 65 556
553 869 689
628 199 -766
748 404 770
513 455 632
624 211 -343
360 738 -724
818 167 602
760 615 -388
209 153 70
452 677 357
206 481 97
378 712 -571
52 332 888
485 339 853
265 69 -680
676 530 -831
846 554 485
249 531 -560
750 57 -988
700 562 -476
630 835 425
421 247 -743
313 610 -899
395 139 -164
837 725 -253
443 505 374
269 797 -30
774 584 -817
425 324 -814
119 846 545
290 413 908
877 797 -937
487 211 -407
838 708 422
497 148 -320
371 602 63
50 522 -516
106 498 -930
673 117 -343
317 383 -924
511 180 986
566 707 -712
371 698 669
607 580 -434
718 411 -677
20 536 673
544 231 870
502 762 -944
806 861 107
96 111 -254
781 767 -257
425 531 483
273 816 345
643 19 -320
801 326 -285
481 58 -860
356 687 477
50 129 843
863 700 -508
832 662 734
379 398 893
388 589 -324
720 789 -39
618 86 387
160 431 -412
751 690 855
161 61 -752
432 655 -586
464 519 -939
847 39 643
327 53 894
342 397 641
155 265 -36
336 408 241
839 814 -461
506 207 -393
508 403 -88
177 553 404
843 97 -827
42 543 865
201 643 943
254 498 44
728 593 -838
849 554 488
295 695 943
379 871 963
599 270 -105
618 562 281
134 314 -831
715 491 718
690 616 88
30 388 366
376 401 -222
730 91 -3
298 25 -291
644 263 -577
621 573 664
634 682 -942
713 70 -223
686 587 548
271 79 -150
166 186 -155
396 166 550
846 519 905
509 205 826
169 136 -104
142 314 943
84 437 -198
329 472 471
687 286 -562
226 859 -437
500 280 -114
799 698 -382
288 73 574
856 416 -814
211 398 -971
45 767 -400
570 701 22
662 851 548
123 343 -178
414 667 179
55 550 652
196 2 993
609 664 560
431 168 -324
593 824 -123
498 353 -995
218 796 -425
729 588 -303
88 241 331
476 235 468
420 208 -428
273 48 -732
835 761 102
497 623 -341
311 215 797
233 387 610
856 642 579
242 289 -295
187 653 -650
710 247 -305
506 394 913
216 745 569
19 25 -225
557 361 -797
269 123 -440
224 856 -291
512 864 -664
92 390 -861
29 525 -32
121 248 -350
307 847 688
550 182 -138
700 453 657
678 116 307
359 202 35
7 616 247
790 528 424
675 168 -560
647 279 173
761 623 -231
648 602 928
159 689 739
498 584 706
697 749 -605
106 777 518
199 737 998
707 514 -592
101 476 704
724 26 -1
469 735 461
682 363 -765
517 326 -12
700 62 -989
128 333 -406
425 247 -48
47 55 791
516 349 -299
311 546 -454
296 668 105
129 876 479
771 565 -841
531 492 -451
723 484 100
473 5 662
536 103 565
848 755 151
533 714 590
80 256 -601
773 114 -477
441 506 -69
103 840 -466
304 367 -546
266 370 796
447 228 934
73 146 -325
695 782 514
650 196 510
527 155 920
680 806 920
669 399 -372
691 106 43
765 535 815
53 152 241
149 424 -685
608 479 -469
465 716 -300
673 153 783
520 68 70
169 410 569
692 231 89
462 863 219
158 548 117
336 611 -275
758 451 -243
451 76 47
588 609 -74
1 875 926
663 588 504
346 312 -165
880 209 668
198 282 298
732 114 945
646 351 -729
680 288 149
313 826 902
734 25 203
217 511 420
848 530 -516
720 776 381
573 443 880
283 772 117
839 457 67
346 428 -41
383 387 -446
705 656 -116
839 564 -539
615 631 91
350 590 -84
833 215 775
548 407 904
778 869 -913
693 842 302
414 138 -978
272 720 736
441 740 -397
345 741 -87
583 261 -568
209 669 -568
348 224 459
509 347 -963
48 532 942
336 214 -724
557 457 865
508 373 851
708 349 -502
406 52 653
48 179 877
287 237 -44
68 725 267
816 795 -588
162 5 551
812 780 811
387 43 -848
688 94 -128
160 879 -833
600 582 -42
563 624 -252
775 7 786
842 521 -740
54 78 457
715 254 726
871 510 -969
311 648 293
273 822 756
27 574 612
258 194 -775
558 653 558
561 373 666
15 806 972
547 53 878
33 810 303
312 674 86
341 880 520
225 129 92
804 62 -475
646 86 -98
279 94 -952
404 757 -49
544 233 774
633 550 -19
653 325 -903
663 236 -41
453 404 391
741 628 -984
352 134 -148
54 510 -501
405 516 113
440 605 -902
619 776 -915
200 178 149
707 286 -787
337 873 -885
681 92 -882
363 207 -950
144 576 951
849 152 302
280 550 657
799 587 374
737 763 685
588 196 -960
69 326 156
347 618 -269
822 241 466
36 675 349
423 636 -243
59 607 81
611 664 -422
589 761 -846
707 716 -411
340 395 399
97 182 915
561 202 886
561 535 575
51 653 626
862 747 -122
409 456 -474
770 499 -182
391 720 -223
709 833 -175
470 780 -169
595 713 647
541 673 -326
14 450 113
718 219 509
439 81 404
823 401 -611
370 651 -983
43 283 -669
736 18 958
47 791 -433
744 36 -222
832 113 -638
804 232 -502
171 742 929
287 477 -427
587 241 930
587 871 782
347 566 351
383 498 -78
396 811 483
384 430 358
367 116 -296
31 479 -316
345 356 509
429 360 537
853 581 -547
342 269 79
700 317 -751
100 678 -55
198 454 358
528 523 -250
215 619 -786
866 27 554
54 878 470
241 636 389
204 652 477
68 178 843
337 758 -134
811 373 847
520 410 -889
64 408 375
412 773 828
513 17 -556
489 177 -605
122 766 558
767 691 -798
472 567 109
778 292 -22
757 502 -414
710 425 -261
695 732 976
488 803 -676
488 643 -662
809 610 95
350 438 -703
314 403 141
89 488 -870
172 739 -103
341 449 -229
465 624 233
140 481 -9
314 799 572
133 571 924
268 579 315
371 399 152
290 288 583
364 158 -647
826 158 -645
120 41 502
497 679 371
214 718 586
220 570 85
583 806 397
786 133 -229
610 32 386
544 85 -292
756 715 275
68 206 -389
738 310 398
668 822 26
216 388 555
283 604 111
152 817 588
446 202 -104
3 727 -925
369 703 8
456 47 -516
704 198 -268
576 655 929
449 738 -636
667 668 -443
285 36 -222
505 807 -968
550 798 -729
133 825 -874
61 231 743
444 451 267
565 112 342
155 185 -421
26 214 -440
628 250 81
301 657 -937
425 303 -11
194 341 -463
201 857 863
848 563 -473
307 374 717
292 647 -357
754 865 -375
780 584 150
170 767 -812
592 601 281
610 791 -194
180 10 -689
606 609 -213
483 526 878
104 92 85
859 266 -607
87 630 192
339 188 -854
271 532 779
107 793 -225
859 404 -789
822 550 999
877 787 -584
203 133 -559
166 796 644
159 358 882
99 597 442
334 462 859
519 267 -878
304 866 885
315 546 543
84 804 -567
795 422 -541
416 119 -27
876 511 -560
106 605 -75
244 503 270
434 2 945
275 421 379
124 669 539
644 415 40
668 475 -331
362 269 128
198 462 -595
672 392 55
622 475 -797
290 41 29
51 254 -457
794 510 -554
833 877 -982
792 232 609
216 563 -206
248 266 414
861 655 157
337 65 -896
287 398 -406
589 691 -729
128 29 -18
622 24 872
363 194 703
860 443 353
73 409 -700
353 641 -180
455 489 96
683 632 778
633 783 -86
474 720 -511
94 166 -904
476 502 -771
869 356 -107
150 729 -953
679 660 -749
312 696 -404
539 176 -975
565 516 -674
359 742 -624
305 183 77
130 747 -336
700 666 -933
232 406 156
770 701 21
337 856 -996
115 205 793
267 580 911
553 527 922
807 185 165
444 61 -32
762 774 -181
772 630 -86
268 844 982
609 845 834
169 291 -797
325 496 -713
860 556 -475
541 452 892
726 177 66
913 950
373 123 -834
776 370 -195
73 366 527
507 838 740
789 47 934
722 237 550
796 120 565
846 32 -318
71 278 540
351 299 857
395 249 634
444 51 -404
19 569 798
320 238 794
317 344 892
717 646 -352
867 663 -170
885 511 -470
398 287 808
225 59 205
99 505 941
730 364 810
664 458 801
521 537 -961
645 555 -221
593 426 -446
443 54 286
35 857 681
637 673 200
450 457 666
56 6 964
258 270 578
478 408 674
394 857 670
407 645 850
57 773 319
779 418 -300
374 860 733
503 815 393
425 50 -869
909 875 497
426 319 -120
383 66 -671
248 163 881
646 382 -407
321 579 -431
103 880 788
65 827 877
216 67 -46
391 148 -727
285 188 936
79 181 -249
128 485 -365
377 358 745
165 353 -943
591 776 -123
610 892 -865
586 179 -296
837 171 594
267 798 807
729 594 -138
531 607 543
691 576 48
328 611 437
392 224 -454
402 704 497
362 253 -457
685 560 -33
680 851 -534
873 113 -866
120 82 204
688 17 -411
238 673 543
165 164 498
771 457 57
177 630 -951
558 299 672
216 201 635
135 419 -777
679 439 -591
856 656 -257
652 594 -758
46 9 713
627 800 411
392 725 -439
709 205 -341
409 96 299
908 618 -587
252 247 -971
603 504 341
674 524 -536
398 514 -272
892 326 20
711 692 -744
85 178 -717
123 500 770
57 676 915
433 305 554
17 111 -919
627 823 420
699 742 -282
98 533 -795
68 366 335
527 95 -387
128 497 131
228 208 -278
331 576 502
124 704 -590
824 283 55
521 750 125
247 381 640
271 526 326
803 294 -76
356 884 655
136 290 79
508 452 -270
89 792 694
103 621 -626
118 904 767
226 455 672
88 415 -525
570 465 822
629 427 -219
290 756 -740
403 900 -137
637 715 443
513 670 -645
620 846 -233
500 396 -6
307 557 159
703 20 -547
789 325 -346
324 399 -636
479 799 -483
124 688 -116
447 374 207
744 863 -213
101 895 -619
818 747 -908
850 249 -944
532 773 577
670 589 -687
577 112 974
882 353 -900
567 117 135
289 700 995
76 462 832
804 503 -835
565 363 -977
12 735 57
238 246 826
128 625 -456
405 210 -943
126 564 -372
224 120 983
106 129 -263
51 862 955
829 238 20
403 864 -227
793 735 -7
535 344 -968
333 688 -140
131 543 476
832 192 -939
182 323 -856
285 449 -582
27 657 889
673 19 18
365 170 277
47 441 -524
65 847 -461
147 572 -933
790 602 -527
494 745 -151
796 552 473
83 368 -935
293 341 612
458 735 244
423 793 -517
92 128 -51
283 642 983
605 68 30
714 717 -520
