9355 28302
9088 7279 623
8793 2507 265
7926 4590 -246
7209 1344 -296
2403 6824 -193
6974 5276 979
3276 4972 542
158 1545 -489
6068 6341 407
9157 1929 -968
4780 7909 325
8428 4303 533
2000 7294 -334
7293 6110 734
1020 6868 -335
5314 911 395
7130 8542 -159
8808 4563 199
6351 3769 422
3306 6560 -526
422 5319 998
8405 6112 596
4333 7970 885
6753 2698 -315
5826 6850 260
7102 5597 -760
1237 3599 -941
6614 5819 -494
1673 596 735
5921 7299 608
2546 7870 -886
1321 2080 -1
52 3647 779
7080 908 979
3234 2565 -281
7802 8357 546
6982 461 654
1715 2582 -277
8207 7509 -869
1591 2953 371
387 1747 909
377 862 -538
4415 3091 -205
2933 8849 512
3119 9104 701
5970 491 347
2205 6808 -758
9066 2877 544
8724 6975 -234
881 3655 394
3095 8716 -559
7363 733 -76
8778 2589 761
5838 1232 41
8842 9316 894
3981 3864 91
1863 4621 -769
922 2252 328
380 4206 734
3919 1955 990
7620 4011 -724
2598 8857 -619
6743 8640 468
6861 1118 -494
4423 867 -466
1828 1451 71
97 1338 356
3648 3656 911
5054 1556 -581
5261 7355 455
8512 7165 67
712 2441 612
3137 4821 -210
4364 9205 -473
2671 2808 -994
4184 9346 -111
4080 6789 610
2182 6192 4
1235 4342 728
5264 8496 123
7561 2134 -168
4091 1039 -118
8297 7132 -205
2965 5482 -857
454 2162 -411
6575 3822 -513
2833 1928 -2
8383 3942 -312
4512 3929 545
7775 1600 -784
2102 1351 -576
8988 4334 146
7115 7836 -670
1551 2080 -245
4217 8182 306
5818 7010 -124
462 7455 393
8504 8041 38
5345 1785 579
8680 6423 356
4968 6897 576
286 7109 -511
6126 3092 -436
9095 1089 -486
6581 4964 -774
8647 4189 850
6224 6601 -759
910 5423 -494
6231 4188 -890
2944 8800 -215
2431 516 -425
9194 770 685
8635 7745 -323
4493 3495 -416
1851 7226 952
2090 5483 477
5689 9102 -505
471 2836 454
9018 5275 -291
7097 6788 386
4634 1878 -461
8831 5372 -25
5521 596 218
4533 8181 -159
2737 4278 -469
1817 3719 785
3843 3055 765
5455 7382 110
8618 4226 956
8870 6047 217
6767 7007 934
8779 7234 -382
4605 3236 -182
5683 9310 -645
4831 7177 167
1389 6143 848
1900 1870 242
5491 2780 -211
7128 9294 -763
3252 1057 -910
8249 5305 -580
8573 6551 217
761 1840 504
